company,pillar,subreq_id,subreq_desc,score,confidence,evidence_source,evidence_ref,gap_note,ris_review
BHP,Governance,G1,Named oversight body with responsibilities in ToR/charters,4,high,BHP Annual Report 2025 (OFR 9.2 / 9.8) + CTAP 2024,AR2025 OFR 9.8 p.40 & CGS p.87-100; CTAP2024 Board-approved,"Board plus all four standing Committees oversee climate; Sustainability Committee has explicit climate remit; CTAP 2024 Board-approved. Strong.",
BHP,Governance,G2,Oversight body skills/competencies to govern climate,2,medium,BHP Annual Report 2025 (Corporate Governance Statement),AR2025 CGS p.87-100 (cross-referenced),"Board skills matrix exists but climate-specific competency disclosure not confirmed in reviewed sections; verify in CGS.",
BHP,Governance,G3,How and how often the body is informed,3,high,BHP Annual Report 2025 (OFR 9.2),AR2025 OFR 9.8 p.40,"Climate a standing Board/Committee agenda item; reported to Sustainability Committee annually; RAC monitors risk.",
BHP,Governance,G4,Body considers climate in strategy/decisions/trade-offs,3,medium,BHP Annual Report 2025 + CTAP 2024,AR2025 OFR 9.8 p.40-43; CTAP2024,"Board approves CTAP and oversees targets; Capital Allocation Framework prioritises decarbonisation projects. Trade-off disclosure moderate.",
BHP,Governance,G5,Oversight of targets + link to remuneration,3,medium,BHP Annual Report 2025 (Remuneration Report; social value scorecard),AR2025 Rem Report p.104-112; OFR 9.8 p.41,"Board oversees GHG targets; decarbonisation pillar sits in social value scorecard linked to incentives. Exact % of incentive tied to climate not confirmed.",
BHP,Governance,G6,Management role and integration with functions,3,medium,BHP Annual Report 2025 (CGS),AR2025 CGS p.96-100 (cross-referenced),"Management roles described; integration with planning/risk functions disclosed at OFR level.",
BHP,Strategy,S1,Specific climate risks/opportunities identified (physical vs transition),3,high,CTAP 2024 + Annual Report 2025,CTAP2024 p.10-45; AR2025 OFR 9.8 p.44-48,"Transition and physical risks plus opportunities identified over short/medium/long term. Strong but pre-AASB framing.",
BHP,Strategy,S2,Time horizons defined and linked to planning,3,medium,CTAP 2024,CTAP2024 (scenario & planning sections),"Short/medium/long-term horizons used; explicit year-band definitions moderate.",
BHP,Strategy,S3,Business model/value chain effects and concentration,3,high,Annual Report 2025 (OFR 9.8 value chain),AR2025 OFR 9.8 p.43; CTAP2024 p.31,"Detailed value-chain analysis; Scope 3 concentration (84% steelmaking) disclosed.",
BHP,Strategy,S4,Strategy/decision-making + transition plan with assumptions and progress,4,high,CTAP 2024 + Annual Report 2025,CTAP2024 (full plan); AR2025 OFR 9.8 p.41-43,"Board-approved CTAP 2024 is a full transition plan; OFR 9.8 reports FY2025 progress and changes since CTAP, including technology-delay impacts. Strong.",
BHP,Strategy,S5,Financial effects quantified + reflected in financial planning,2,high,Annual Report 2025 (FS note 16; OFR 9.8 capital),AR2025 FS note 16; OFR 9.8 p.43,"Decarbonisation spend quantified (~US$50m FY2025; ~US$0.5bn to FY2030; ~US$4bn in 2030s) and note 16 addresses some FS impacts, but broader financial-effect quantification (position/performance/cash flows) remains limited. Common gap.",
BHP,Strategy,S6,Climate resilience via scenario analysis (1.5C + high-warming),3,high,CTAP 2024,CTAP2024 p.34-37 & p.62; AR2025 TCFD table p.40,"Models a detailed 1.5C scenario with assumptions/signposts/benchmarks and references well-below-2C. Coverage of a high-warming (>2.5C) physical scenario per AASB S2 not confirmed; verify.",
BHP,Risk Management,R1,Processes to identify and assess climate risks (inputs/scenarios),3,high,Annual Report 2025 (Risk Framework; TCFD table),AR2025 OFR 9.8 p.25-26 & p.44-45,"Group Risk Framework with scenario inputs; processes disclosed.",
BHP,Risk Management,R2,Nature/likelihood/magnitude assessment,3,high,Annual Report 2025 (Risk Framework),AR2025 OFR (Risk) p.25-26,"Uses Key Risk Indicators, risk appetite and maximum-foreseeable-loss scenarios.",
BHP,Risk Management,R3,Prioritisation relative to other risks,3,medium,Annual Report 2025 (Risk Framework),AR2025 OFR (Risk) p.25-26,"Climate treated as a material risk within the common enterprise Risk Framework.",
BHP,Risk Management,R4,Monitoring and changes from prior period,3,high,Annual Report 2025 (OFR 9.8),AR2025 OFR 9.8 p.42,"RAC monitoring; OFR 9.8 explicitly describes changes to pathway since CTAP 2024.",
BHP,Risk Management,R5,Processes for climate opportunities,3,high,Annual Report 2025 (Risk Framework footnote),AR2025 OFR 9.8 p.40 fn1,"Risk Framework treats risks as both threats and opportunities.",
BHP,Risk Management,R6,Integration into overall ERM,3,high,Annual Report 2025 (TCFD table 3c),AR2025 OFR 9.8 p.40 & p.25-26,"Climate risk processes integrated into the Group Risk Framework; integration disclosed.",
BHP,Metrics & Targets,M1,Absolute gross Scope 1 emissions,4,high,Annual Report 2025 + ESG Databook 2025,AR2025 OFR 9.8 p.41; Databook 2025,"Operational Scope 1+2 disclosed (8.7 MtCO2-e FY2025); Scope 1 split in Databook; GHG methodology document published.",
BHP,Metrics & Targets,M2,Absolute gross Scope 2 (location + market based),3,medium,ESG Databook 2025,Databook 2025,"Scope 2 disclosed; confirm both location-based and market-based bases in Databook.",
BHP,Metrics & Targets,M3,Absolute gross Scope 3 with categories,4,high,Annual Report 2025 (OFR 9.8),AR2025 OFR 9.8 p.43,"Full Scope 3 inventory (~378 MtCO2-e FY2025) disclosed by category (Cat 10/11/15 etc.); 84% from iron ore + steelmaking coal processing. Unusually complete for the sector.",
BHP,Metrics & Targets,M4,Assets/activities vulnerable to transition risk (amount/%),2,medium,CTAP 2024,CTAP2024 (portfolio/transition sections),"Transition risk discussed qualitatively with portfolio analysis; amount/% of assets vulnerable not quantified in AASB S2 form.",
BHP,Metrics & Targets,M5,Assets/activities vulnerable to physical risk (amount/%),2,medium,CTAP 2024 (physical risk),CTAP2024 p.42-45,"Physical climate risk approach and management disclosed; amount/% of assets vulnerable not quantified.",
BHP,Metrics & Targets,M6,Assets/activities aligned with climate opportunities (amount/%),2,medium,Annual Report 2025 + CTAP 2024,AR2025 OFR 9.8; CTAP2024,"Opportunities (future-facing commodities, steel decarbonisation tech) described; % of assets aligned not quantified.",
BHP,Metrics & Targets,M7,Capital deployment toward climate,3,high,Annual Report 2025 (OFR 9.8),AR2025 OFR 9.8 p.43,"Climate capex/opex quantified (~US$50m FY2025; ~US$0.5bn to FY2030; ~US$4bn 2030s; CIP US$400m to FY2025). Clear figures; methodology label moderate.",
BHP,Metrics & Targets,M8,Internal carbon price (applied + price level),2,high,CTAP 2024,CTAP2024 p.~ (carbon price protocol),"Discloses use of regional internal carbon price assumptions in planning/investment/valuations since the 2010s and a carbon price protocol; specific price per tonne not clearly disclosed in reviewed text.",
BHP,Metrics & Targets,M9,Climate factored into executive remuneration (% linked),2,medium,Annual Report 2025 (Rem Report),AR2025 Rem Report p.104-112,"Decarbonisation milestone within social value scorecard tied to incentives; explicit percentage of executive incentive linked to climate not confirmed in reviewed sections.",
BHP,Metrics & Targets,M10,Industry-based (SASB) metrics,3,medium,ESG Standards and Databook 2025,Databook 2025,"Databook maps disclosures to multiple frameworks including SASB; sector metrics present.",
