council,item_id,item_desc,score,evidence,confidence
City of Swan,P1,Named target with baseline and date,0,"Page lists nine general sustainability topics with no named targets, baselines or dates",confirmed absent on this page
City of Swan,P2,Named responsible person or committee,0,Not present on this page,confirmed absent on this page
City of Swan,P3,Budget or resourcing commitment,0,Not present on this page,confirmed absent on this page
City of Swan,P4,Reporting or review cadence,0,Not present on this page,confirmed absent on this page
City of Swan,P5,Mitigation and adaptation both addressed,0,"Page lists general topics (water conservation, energy efficiency, biodiversity) without a mitigation or adaptation framing",confirmed absent on this page
City of Swan,P6,Cross-council collaboration,0,Not present on this page,confirmed absent on this page
City of Swan,P7,First Peoples acknowledgement,1,"'The City of Swan acknowledges the Traditional Custodians of this region, the Whadjuk people of the Noongar Nation'",partial; generic, not tied to climate planning
City of Swan,P8,Justice or equity content,0,Not present on this page,confirmed absent on this page
City of Swan,P9,Biodiversity or natural-environment link,1,"'Wildlife/biodiversity' listed as one of nine general sustainability focus areas",partial; general sustainability page, not a climate strategy
City of Swan,P10,Document form,none found,"This is a general sustainability directory page, not a dedicated climate or environment strategy",descriptive
City of Swan,P11,Stated purpose or driver,unclear,Not evidenced on this page,interpretive context
City of Swan,P12,Reference to which WALGA instrument,none found,"No mention of WALGA's Declaration on this page; the City has separately been the target of a public petition to declare a climate emergency, a different instrument again",not confirmed as signatory
